"",Seattle,,King County,WA State
"",Number,%,%,%
Population Estimates 2014 1,,,,
Total Population 2014,"641,015",,,
Age  0 ‐17,"96,967",15.1,21.2,22.8
Age 18‐24,"73,443",11.5,8.8,9.5
Age 25‐44,"235,676",36.8,31.3,26.9
Age 45‐64,"158,571",24.7,26.6,26.7
Age 65+,"76,358",11.9,12.2,14.0
White,"412,038",64.3,62.8,70.8
Black/African American,"51,548",8.0,6.3,3.6
American Indian/Alaska Native,"4,038",0.6,0.7,1.3
Asian,"92,563",14.4,15.4,7.5
Native Hawaiian/Pacific Islander,"2,878",0.4,0.8,0.6
Multiple Race,"30,094",4.7,4.4,4.0
Hispanic/Latino*,"47,856",7.5,9.7,12.2
ACS estimates for 2009‐2013 2,,,,
No high school diploma,"#",6.9,7.9,9.8
Less than college degree,"#",42.1,52.9,67.7
Below 100% poverty,"#",14.0,11.8,13.5
Below 200% Poverty,"#",26.5,24.4,30.3
Foreign‐born,"#",18.0,21.0,13.3
Non‐English speaking at home^,"#",22.6,26.4,18.8
Pay≥30%  household income on rent,"#",46.9,47.9,50.6
Unemployed,"#",6.5,7.2,8.8
Not in labor force,"#",32.3,35.4,40.9
Largest Asian ethnic groups 3,Number,% of Asian,,
Chinese,"27,391",29.6,23.8,19.5
Filipino,"15,427",16.7,14.8,17.6
Vietnamese,"13,922",15.0,12.7,13.9
Japanese,"8,401",9.1,6.9,7.1
Korean,"7,071",7.6,9.4,12.2
